PN;End-of-Sale Date;End of New Service Attachment Date;End of Service Contract Renewal Date;Last Date of Support; омментарий
CISCO3745-MB;27-MAR-2007;26-MAR-2008;25-JUN-2011;25-MAR-2012;не нашла дат EOS, проставила аналогично Cisco3745
CISCO3825;November 1, 2011;October 31, 2012;January 30, 2016;October 31, 2016;
CISCO3825-HSEC/K9;November 1, 2011;October 31, 2012;January 30, 2016;October 31, 2016;
CISCO3845;November 1, 2011;October 31, 2012;January 30, 2016;October 31, 2016;
CISCO3845-DC;November 1, 2011;October 31, 2012;January 30, 2016;October 31, 2016;
CISCO3845-HSEC/K9;November 1, 2011;October 31, 2012;January 30, 2016;October 31, 2016;
CISCO3845-MB;November 1, 2011;October 31, 2012;January 30, 2016;November  1, 2016;не нашла дат EOS, проставила аналогично CISCO3845
CISCO3925/K9;;;;;
CISCO3925E/K9;;;;;
CISCO3945/K9;;;;;
CISCO3945E/K9;;;;;
CISCO3945E-SEC/K9;;;;;
CISCO3945-SEC/K9;;;;;
CISCO7201;September 29, 2012;September 29, 2013;December 28, 2016;September 30, 2017;
CISCO7204VXR;September 29, 2012;September 29, 2013;December 28, 2016;September 30, 2017;
CISCO7206VXR;September 29, 2012;September 29, 2013;December 28, 2016;September 30, 2017;
Cisco7206VXR(NPE-G1);;;;;
CISCO7206VXR-CH;September 29, 2012;September 29, 2013;December 28, 2016;September 30, 2017;
CISCO7301;September 29, 2012;September 29, 2013;December 28, 2016;September 30, 2017;
Cisco7301(NPE-G1);;;;;
CISCO7301-2DC48;September 29, 2012;September 29, 2013;December 28, 2016;September 30, 2017;
CISCO7304-G100;July 4, 2010;July 4, 2011;September 29, 2014;July 31, 2015;
CISCO7513/16X2-MX;December 15, 2007;December 14, 2008;March 14, 2012;December 31, 2012;
CISCO7604;April 20, 2015;April 19, 2016;July 16, 2019;April 30, 2020;
Cisco7604(RSP720);;;;;
Cisco7604(SUP720);;;;;
CISCO7606;March 15, 2010;March 15, 2011;June 13, 2014;March 31, 2015;
Cisco7606(RSP720);;;;;
Cisco7606(SUP720);;;;;
CISCO7606-S;July 24, 2016;July 24, 2017;October 22, 2020;July 31, 2021;
Cisco7606-S(RSP720);;;;;
Cisco7606-S(SUP720);;;;;
CISCO7609;March 15, 2010;March 15, 2011;June 13, 2014;March 31, 2015;
Cisco7609(RSP720);;;;;
Cisco7609(SUP720);;;;;
CISCO7609-S;July 24, 2016;July 24, 2017;October 22, 2020;July 31, 2021;
Cisco7609-S(RSP720);;;;;
Cisco7609-S(SUP720);;;;;
CISCO805;July 16, 2007;July 15, 2008;October 11, 2011;July 14, 2012;
CISCO851-K9;July 15, 2010;July 15, 2011;October 10, 2014;July 31, 2015;
CISCO857-K9;December 20, 2011;December 19, 2012;March 19, 2016;December 31, 2016;
CISCO871-K9;July 15, 2010;July 15, 2011;October 10, 2014;July 31, 2015;
CISCO877-K9;December 20, 2011;December 19, 2012;March 19, 2016;December 31, 2016;
CISCO877-SEC-K9;December 20, 2011;December 19, 2012;March 19, 2016;December 31, 2016;
CISCO881-K9;August 22, 2014;August 22, 2015;November 17, 2018;August 31, 2019;
