PN,End-of-Sale Date,End of New Service Attachment Date,End of Service Contract Renewal Date,Last Date of Support,Source Link,Notes,Found as
GSR12-SFC,"February 28, 2005","February 28, 2006","February 28, 2009","February 28, 2010",http://www.cisco.com/c/en/us/products/collateral/routers/12000-series-routers/prod_end-of-life_notice09186a00801fc894.html,OK,GSR12-SFC
A900-IMA16D,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/interfaces-modules/asr-900-series-16-port-t1-e1-module/model.html,EOS status Orderable (No  specific EOS for this PN),A900-IMA16D
A900-IMA1X,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/interfaces-modules/asr-900-series-1-port-10ge-xfp-module/model.html,EOS status Orderable (No  specific EOS for this PN),A900-IMA1X
A900-IMA8S,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/interfaces-modules/asr-900-series-8-port-1ge-sfp-module/model.html,EOS status Orderable (No  specific EOS for this PN),A900-IMA8S
A900-IMA8T,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/interfaces-modules/asr-900-series-8-port-1ge-rj45-module/model.html,EOS status Orderable (No  specific EOS for this PN),A900-IMA8T
A901-12C-F-D,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-901-12c-f-d-router/model.html,EOS status Orderable (No  specific EOS for this PN),A901-12C-F-D
A903-FAN,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-903-router/model.html,EOS status Orderable (No  specific EOS for this PN),A903-FAN
A903-RSP1A-55,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/interfaces-modules/asr-903-route-switch-processor-rsp1/model.html,EOS status Orderable (No  specific EOS for this PN),A903-RSP1A-55
A9K-03.09,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
A9K-04.00,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
A9K-04.01,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
A9K-16T/8-B,"September 16, 2014","September 16, 2015","December 12, 2018","September 30, 2019",http://www.cisco.com/c/en/us/products/routers/asr-9000-series-aggregation-services-routers/eos-eol-notice-c51-731288.html,OK,A9K-16T/8-B
A9K-24X10GE-SE,"September 10, 2015",N/A,N/A,"September 30, 2020",http://www.cisco.com/c/en/us/support/interfaces-modules/asr-9000-series-integrated-service-module/model.html,EOS status End (No  specific EOS for this PN),A9K-24X10GE-SE
A9K-24X10GE-TR,"September 10, 2015",N/A,N/A,"September 30, 2020",http://www.cisco.com/c/en/us/support/interfaces-modules/asr-9000-series-integrated-service-module/model.html,EOS status End (No  specific EOS for this PN),A9K-24X10GE-TR
A9K-2KW-DC,"November 13, 2014","November 13, 2015","February 8, 2019","November 30, 2019",http://www.cisco.com/c/en/us/products/collateral/routers/asr-9000-series-aggregation-services-routers/eos-eol-notice-c51-731882.html,OK,A9K-2KW-DC
A9K-2T20GE-B,"May 7, 2015","May 6, 2016","August 2, 2019","May 31, 2020",http://www.cisco.com/c/en/us/products/collateral/routers/asr-9000-series-aggregation-services-routers/eos-eol-notice-c51-733321.html,OK,A9K-2T20GE-B
A9K-2T20GE-L,"May 7, 2015","May 6, 2016","August 2, 2019","May 31, 2020",http://www.cisco.com/c/en/us/products/collateral/routers/asr-9000-series-aggregation-services-routers/eos-eol-notice-c51-733321.html,OK,A9K-2T20GE-L
A9K-2X100GE-TR,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9922-router/model.html,EOS status Orderable (No  specific EOS for this PN),A9K-2X100GE-TR
A9K-36X10GE-TR,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-9922-router/model.html,EOS status Orderable (No  specific EOS for this PN),A9K-36X10GE-TR
