PN,End-of-Sale Date,End of New Service Attachment Date,End of Service Contract Renewal Date,Last Date of Support,Source Link,Notes,Found as
CISCOSB101-K9,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CISCOSOHO97-K9-64,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoWS-C2912-LRE-XL,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoWS-C2950-12,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoWS-C2950-24,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoWS-C2950ST-24-LRE,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoWS-C2950ST-8-LRE,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoWS-C3560-24PS,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoWS-C4900M,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CiscoWS-C4948-10GE,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CLK-7600,"July 24, 2016","July 24, 2017","October 22, 2020","July 31, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,OK,CLK-7600
CL-X2-LR-10,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CP-PWR-CUBE-4,"July  5, 2016",N/A,N/A,"July 31, 2021",http://www.cisco.com/c/en/us/support/collaboration-endpoints/unified-ip-phone-9971/model.html,EOS status End (No  specific EOS for this PN),CP-PWR-CUBE-4
CPS-HDD-6TB-BNDL,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CRS-8/S,"July 31, 2013","July 31, 2014","October 29, 2019","July 31, 2020",http://www.cisco.com/c/en/us/products/collateral/routers/carrier-routing-system/end_of_life_notice_c51-713529.html,OK,CRS-8/S
CRS-8-AC-RECT,"August 31, 2012","August 31, 2013","November 29, 2016","August 31, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/carrier-routing-system/end_of_life_notice_c51-685653.html,OK,CRS-8-AC-RECT
CRS-8-DC-PEM,"August 31, 2012","August 31, 2013","November 29, 2016","August 31, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/carrier-routing-system/end_of_life_notice_c51-685653.html,OK,CRS-8-DC-PEM
CRS-8-FC140/S,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/crs-1-8-slot-single-shelf-system/model.html,EOS status Orderable (No  specific EOS for this PN),CRS-8-FC140/S
CRS-8-LCC,"July 31, 2013","July 31, 2014","October 29, 2019","July 31, 2020",http://www.cisco.com/c/en/us/products/collateral/routers/carrier-routing-system/end_of_life_notice_c51-713529.html,OK,CRS-8-LCC
CRS-8-LCC-DC,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CRS-8-LCC-FAN-TR,"January 30, 2016","January 29, 2017","April 29, 2020","January 31, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/carrier-routing-system/eos-eol-notice-c51-733787.html,OK,CRS-8-LCC-FAN-TR
CRS-8-PSH-DC,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/crs-1-8-slot-line-card-chassis/model.html,EOS status Orderable (No  specific EOS for this PN),CRS-8-PSH-DC
CRS-8-RP,"January 30, 2013","January 30, 2014","April 30, 2017","January 31, 2018",http://www.cisco.com/c/en/us/products/collateral/routers/carrier-routing-system/end_of_life_notice_c51-695816.html,OK,CRS-8-RP
CRS-FP140,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CRS-PM-DC,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/crs-x-multishelf-system/model.html,EOS status Orderable (No  specific EOS for this PN),CRS-PM-DC
CSACS-1121-UP-K9,"August 27, 2013","August 27, 2014","November 22, 2017","August 31, 2018",http://www.cisco.com/c/en/us/products/collateral/security/secure-access-control-system/eol__C51-726880.html,OK,CSACS-1121-UP-K9
CTS-CAB-VGA-A,"October 30, 2015","October 30, 2016","January 30, 2018","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/telepresence-system-3000-series/eos-eol-notice-c51-736181.html,OK,CTS-CAB-VGA-A
CTS-CAM-TOOL,"October 30, 2015","October 30, 2016","January 30, 2018","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/telepresence-system-3000-series/eos-eol-notice-c51-736181.html,OK,CTS-CAM-TOOL
CTS-CODEC-PRI-G2R,"October 30, 2015","October 30, 2016","January 30, 2018","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/telepresence-system-3000-series/eos-eol-notice-c51-736181.html,OK,CTS-CODEC-PRI-G2R
CTS-CODEC-S-PWR,"October 30, 2015","October 30, 2016","January 30, 2018","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/telepresence-system-3000-series/eos-eol-notice-c51-736181.html,OK,CTS-CODEC-S-PWR
CTS-CTRL-DV12,"February 9, 2016","February 9, 2017","May 9, 2018","February 28, 2019",http://www.cisco.com/c/en/us/products/collateral/conferencing/telepresence-manager/eos-eol-notice-c51-736773.html,OK,CTS-CTRL-DV12
CTS-DISP-65-GEN4,"October 30, 2015","October 30, 2016","January 30, 2018","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/telepresence-system-3000-series/eos-eol-notice-c51-736181.html,OK,CTS-DISP-65-GEN4
CTS-EP-SW-V1.9K9,"February 9, 2016","February 9, 2017","May 9, 2018","February 28, 2019",http://www.cisco.com/c/en/us/products/collateral/conferencing/telepresence-manager/eos-eol-notice-c51-736773.html,OK,CTS-EP-SW-V1.9K9
CTS-LAEB-G2R,"May 6, 2015","May 5, 2016","August 1, 2019","May 31, 2020",http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/telepresence-integrator-c-series/eos-eol-notice-c51-733320.html,OK,CTS-LAEB-G2R
CTS-LAPCONN-CE,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CTS-LCU-G2R,"May 6, 2015","May 5, 2016","August 1, 2019","May 31, 2020",http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/telepresence-integrator-c-series/eos-eol-notice-c51-733320.html,OK,CTS-LCU-G2R
CTS-PWR-LT-LED,"October 30, 2015","October 30, 2016","January 30, 2018","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/telepresence-system-3000-series/eos-eol-notice-c51-736181.html,OK,CTS-PWR-LT-LED
CTS-T3-PDU1,"May 1, 2013","May 1, 2014","July 27, 2017","April 30, 2018",http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/telepresence-system-t-series/end_of_life_notice_c51-720240.html,OK,CTS-T3-PDU1
CTS-TX9000-BZL,"October 30, 2015","October 30, 2016","January 30, 2018","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/telepresence-system-3000-series/eos-eol-notice-c51-736181.html,OK,CTS-TX9000-BZL
CTS-TX9000-LEDPK,"October 30, 2015","October 30, 2016","January 30, 2018","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/telepresence-system-3000-series/eos-eol-notice-c51-736181.html,OK,CTS-TX9000-LEDPK
CTS-TX9000-SPKR,"October 30, 2015","October 30, 2016","January 30, 2018","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/telepresence-system-3000-series/eos-eol-notice-c51-736181.html,OK,CTS-TX9000-SPKR
CTS-TX9000-TBL,"October 30, 2015","October 30, 2016","January 30, 2018","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/telepresence-system-3000-series/eos-eol-notice-c51-736181.html,OK,CTS-TX9000-TBL
CTS-TX9200,"October 30, 2015","October 30, 2016","January 30, 2018","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/telepresence-system-3000-series/eos-eol-notice-c51-736181.html,OK,CTS-TX9200
CTS-TX9200-TBL,"October 30, 2015","October 30, 2016","January 30, 2018","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/telepresence-system-3000-series/eos-eol-notice-c51-736181.html,OK,CTS-TX9200-TBL
CTS-TX9K-CAMCLSTR,"October 30, 2015","October 30, 2016","January 30, 2018","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/telepresence-system-3000-series/eos-eol-notice-c51-736181.html,OK,CTS-TX9K-CAMCLSTR
CTS-TX9K-CAM-HS,"October 30, 2015","October 30, 2016","January 30, 2018","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/telepresence-system-3000-series/eos-eol-notice-c51-736181.html,OK,CTS-TX9K-CAM-HS
CTS-TX9K-CAM-PWR,"October 30, 2015","October 30, 2016","January 30, 2018","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/telepresence-system-3000-series/eos-eol-notice-c51-736181.html,OK,CTS-TX9K-CAM-PWR
CTS-TX9K-CBLRUN,"October 30, 2015","October 30, 2016","January 30, 2018","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/telepresence-system-3000-series/eos-eol-notice-c51-736181.html,OK,CTS-TX9K-CBLRUN
CTS-TX9K-DATADISP,"October 30, 2015","October 30, 2016","January 30, 2018","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/telepresence-system-3000-series/eos-eol-notice-c51-736181.html,OK,CTS-TX9K-DATADISP
CTS-TX9K-FRT-PNLS,"October 30, 2015","October 30, 2016","January 30, 2018","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/telepresence-system-3000-series/eos-eol-notice-c51-736181.html,OK,CTS-TX9K-FRT-PNLS
CTS-TX9K-LTRF-PNL,"October 30, 2015","October 30, 2016","January 30, 2018","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/telepresence-system-3000-series/eos-eol-notice-c51-736181.html,OK,CTS-TX9K-LTRF-PNL
CTS-TX9K-MIC,"October 30, 2015","October 30, 2016","January 30, 2018","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/telepresence-system-3000-series/eos-eol-notice-c51-736181.html,OK,CTS-TX9K-MIC
CTS-TX9K-TBL-PNLB,"October 30, 2015","October 30, 2016","January 30, 2018","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/telepresence-system-3000-series/eos-eol-notice-c51-736181.html,OK,CTS-TX9K-TBL-PNLB
CTS-TX9XX0-TBL-WB,"October 30, 2015","October 30, 2016","January 30, 2018","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/telepresence-system-3000-series/eos-eol-notice-c51-736181.html,OK,CTS-TX9XX0-TBL-WB
CTS-TX9XX0-TBL-WF,"October 30, 2015","October 30, 2016","January 30, 2018","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/collaboration-endpoints/telepresence-system-3000-series/eos-eol-notice-c51-736181.html,OK,CTS-TX9XX0-TBL-WF
CUCM-VERS-10.X-XU,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CVR-X2-SFP,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/interfaces-modules/twingig-converter-module/model.html,EOS status Orderable (No  specific EOS for this PN),CVR-X2-SFP
CVR-X2-SFP10G,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/interfaces-modules/twingig-converter-module/model.html,EOS status Orderable (No  specific EOS for this PN),CVR-X2-SFP10G
CWHUM-1.1-L-K9,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
CWLMS-3.1-5KUPK9,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
DE46C,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
DEM-330R,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
DEM-330T,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
DEM-410X,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
DEM-422XT,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
DGS-3627G,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
DISK-SAS-300GB,"August 2, 2010","August 2, 2011","October 28, 2014","August 31, 2015",http://www.cisco.com/c/en/us/products/collateral/routers/wide-area-application-services-waas-appliances/end_of_life_c51-582286.html,OK,DISK-SAS-300GB
DWDM-XENPAK-47.72,"July 16, 2015","July 15, 2016","October 11, 2019","July 31, 2020",http://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/eos-eol-notice-c51-733695.html,OK,DWDM-XENPAK-47.72
DWDM-XFP-50.92,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/interfaces-modules/dwdm-transceiver-modules/model.html,EOS status Orderable (No  specific EOS for this PN),DWDM-XFP-50.92
DWDM-XFP-58.98,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/interfaces-modules/dwdm-transceiver-modules/model.html,EOS status Orderable (No  specific EOS for this PN),DWDM-XFP-58.98
DWDM-XFP-59.79,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/interfaces-modules/dwdm-transceiver-modules/model.html,EOS status Orderable (No  specific EOS for this PN),DWDM-XFP-59.79
DWDM-XFP-60.61,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/interfaces-modules/dwdm-transceiver-modules/model.html,EOS status Orderable (No  specific EOS for this PN),DWDM-XFP-60.61
DWDM-XFP-C,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/interfaces-modules/dwdm-transceiver-modules/model.html,EOS status Orderable (No  specific EOS for this PN),DWDM-XFP-C
ES+4TG3CXL-BUN,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
ES-2024A,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
ES3526S,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
eSFP-GE-SMTx1490/Rx1310-10K,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
ET4201-LX,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
FAN-MOD-09,"July 31, 2015","July 31, 2016","October 31, 2019","July 31, 2020",http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/eos-eol-notice-c51-733297.html,OK,FAN-MOD-09
FAN-MOD-4HS,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/switches/catalyst-6504-e-switch/model.html,EOS status Orderable (No  specific EOS for this PN),FAN-MOD-4HS
FAN-MOD-6SHS,"July 24, 2016","July 24, 2017","October 22, 2020","July 31, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,OK,FAN-MOD-6SHS
FAN-MOD-9SHS,"July 24, 2016","July 24, 2017","October 22, 2020","July 31, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/7600-series-routers/eos-eol-notice-c51-735517.html,OK,FAN-MOD-9SHS
FBT-2C-49192-04C,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
FLASR1-BB-16K,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-1013-router/model.html,EOS status Orderable (No  specific EOS for this PN),FLASR1-BB-16K
FLASR1-BB-4K,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-1013-router/model.html,EOS status Orderable (No  specific EOS for this PN),FLASR1-BB-4K
FLASR1-BB-RTU,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-1013-router/model.html,EOS status Orderable (No  specific EOS for this PN),FLASR1-BB-RTU
FLASR1-IOSRED-RTU,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-1013-router/model.html,EOS status Orderable (No  specific EOS for this PN),FLASR1-IOSRED-RTU
FLS-ASR1001-5G,"April 29, 2016","April 29, 2017","July 28, 2020","April 30, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/asr-1000-series-aggregation-services-routers/eos-eol-notice-c51-734572.html,OK,FLS-ASR1001-5G
FL-WEBVPN-10-K9,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
FR-IR75,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
FR-WPP75,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
FTRJ-1319-7D-CSC,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
FTRJ1319P1BTL-C7,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
GBIC_T,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
GEIP+,"December 15, 2007","December 14, 2008","March 14, 2012","December 31, 2012",http://www.cisco.com/c/en/us/products/collateral/routers/7500-series-routers/prod_end-of-life_notice0900aecd8058ffe4.html,OK,GEIP+
GLC-BX-D,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/interfaces-modules/gigabit-ethernet-gbic-sfp-modules/model.html,EOS status Orderable (No  specific EOS for this PN),GLC-BX-D
GLC-BX-U,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/interfaces-modules/gigabit-ethernet-gbic-sfp-modules/model.html,EOS status Orderable (No  specific EOS for this PN),GLC-BX-U
GLC-LH-SM,"March 8, 2013","March 8, 2014","June 6, 2017","March 31, 2018",http://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/eol_c51-698060.html,OK,GLC-LH-SM
GLC-LH-SMD,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/interfaces-modules/1000base-lx-lh-sfp/model.html,EOS status Orderable (No  specific EOS for this PN),GLC-LH-SMD
GLC-LX-SM-RGD,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/interfaces-modules/1000base-zx-sfp/model.html,EOS status Orderable (No  specific EOS for this PN),GLC-LX-SM-RGD
GLC-SX-MM,"March 8, 2013","March 8, 2014","June 6, 2017","March 31, 2018",http://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/eol_c51-698060.html,OK,GLC-SX-MM
GLC-SX-MMD,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/interfaces-modules/1000base-sx-sfp/model.html,EOS status Orderable (No  specific EOS for this PN),GLC-SX-MMD
GLC-T,"June 1, 2017","June 1, 2018","August 30, 2021","May 31, 2022",http://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/eos-eol-notice-c51-737325.html,OK,GLC-T
GLC-ZX-SM,"October 17, 2013","October 17, 2014","January 12, 2018","October 31, 2018",http://www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/eol_C51-727832.html,OK,GLC-ZX-SM
GSR6-ALRM,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/12406-router/model.html,EOS status Orderable (No  specific EOS for this PN),GSR6-ALRM
HighSpeedWanInterfacecardwith16RS232asyncports(HWIC-16A),NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
HWIC-1FE,"July 13, 2012","July 13, 2013","October 8, 2016","July 31, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/3800-series-integrated-services-routers-isr/eol_c51-696796.html,OK,HWIC-1FE
HWIC-1GE-SFP,"July 13, 2012","July 13, 2013","October 8, 2016","July 31, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/3800-series-integrated-services-routers-isr/eol_c51-696796.html,OK,HWIC-1GE-SFP
HWIC-2CE1T1-PRI,"November  1, 2011",N/A,N/A,"November  1, 2016",http://www.cisco.com/c/en/us/support/routers/3845-ran-o-integrated-services-router-isr/model.html,EOS status End (No  specific EOS for this PN),HWIC-2CE1T1-PRI
HWIC-2FE,"November  1, 2011",N/A,N/A,"November  1, 2016",http://www.cisco.com/c/en/us/support/routers/3845-ran-o-integrated-services-router-isr/model.html,EOS status End (No  specific EOS for this PN),HWIC-2FE
HWIC-2T,"November  1, 2011",N/A,N/A,"November  1, 2016",http://www.cisco.com/c/en/us/support/routers/3845-ran-o-integrated-services-router-isr/model.html,EOS status End (No  specific EOS for this PN),HWIC-2T
HWIC-4ESW,"July 13, 2012","July 13, 2013","October 8, 2016","July 31, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/3800-series-integrated-services-routers-isr/eol_c51-696796.html,OK,HWIC-4ESW
HWIC-4T,"November  1, 2011",N/A,N/A,"November  1, 2016",http://www.cisco.com/c/en/us/support/routers/3845-ran-o-integrated-services-router-isr/model.html,EOS status End (No  specific EOS for this PN),HWIC-4T
HWIC-8A,"November  1, 2011",N/A,N/A,"November  1, 2016",http://www.cisco.com/c/en/us/support/routers/3845-ran-o-integrated-services-router-isr/model.html,EOS status End (No  specific EOS for this PN),HWIC-8A
HWIC-D-9ESW,"July 13, 2012","July 13, 2013","October 8, 2016","July 31, 2017",http://www.cisco.com/c/en/us/products/collateral/routers/3800-series-integrated-services-routers-isr/eol_c51-696796.html,OK,HWIC-D-9ESW
Invalid,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
ISR4451-X/K9,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/4451-x-integrated-services-router-isr/model.html,EOS status Orderable (No  specific EOS for this PN),ISR4451-X/K9
JABBER-IM-ADDON,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
JABBER-IM-RTU,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
LIC-TP-10X-ROOM,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
M-ASR1K-EUSB-1GB,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-1013-router/model.html,EOS status Orderable (No  specific EOS for this PN),M-ASR1K-EUSB-1GB
M-ASR1K-HDD-40GB,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/routers/asr-1013-router/model.html,EOS status Orderable (No  specific EOS for this PN),M-ASR1K-HDD-40GB
M-ASR1K-RP1-4GB,"April 29, 2016","April 29, 2017","July 28, 2020","April 30, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/asr-1000-series-aggregation-services-routers/eos-eol-notice-c51-734572.html,OK,M-ASR1K-RP1-4GB
ME-3400-24TS-A,"January 9, 2014","January 9, 2015","April 9, 2018","January 31, 2019",http://www.cisco.com/c/en/us/products/collateral/switches/me-3400-series-ethernet-access-switches/end_of_life_notice_c51-726108.html,OK,ME-3400-24TS-A
ME-3400-24TS-D,"January 9, 2014","January 9, 2015","April 9, 2018","January 31, 2019",http://www.cisco.com/c/en/us/products/collateral/switches/me-3400-series-ethernet-access-switches/end_of_life_notice_c51-726108.html,OK,ME-3400-24TS-D
ME-3400E-24TS-M,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
ME-3400EG-12CS-M,"January  9, 2014",N/A,N/A,"January 31, 2019",http://www.cisco.com/c/en/us/support/switches/me-3400g-2cs-a-switch/model.html,EOS status End (No  specific EOS for this PN),ME-3400EG-12CS-M
ME-3400G-12CS-A,"January 9, 2014","January 9, 2015","April 9, 2018","January 31, 2019",http://www.cisco.com/c/en/us/products/collateral/switches/me-3400-series-ethernet-access-switches/end_of_life_notice_c51-726108.html,OK,ME-3400G-12CS-A
ME-3400G-12CS-D,"January 9, 2014","January 9, 2015","April 9, 2018","January 31, 2019",http://www.cisco.com/c/en/us/products/collateral/switches/me-3400-series-ethernet-access-switches/end_of_life_notice_c51-726108.html,OK,ME-3400G-12CS-D
ME-3400G-2CS-A,"January 9, 2014","January 9, 2015","April 9, 2018","January 31, 2019",http://www.cisco.com/c/en/us/products/collateral/switches/me-3400-series-ethernet-access-switches/end_of_life_notice_c51-726108.html,OK,ME-3400G-2CS-A
ME34X-PWR-AC,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
ME34X-PWR-AC-R,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
ME3600X-10G,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
ME-3600X-24FS-M,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/switches/me-3600x-24fs-m-switch/model.html,EOS status Orderable (No  specific EOS for this PN),ME-3600X-24FS-M
ME-3600X-24TS-M,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/switches/me-3600x-24ts-m-switch/model.html,EOS status Orderable (No  specific EOS for this PN),ME-3600X-24TS-M
ME3600X-I,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
ME3750-IPBASE-LIC,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
ME-3800X-24FS-M,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/switches/me-3800x-24fs-m-switch-router/model.html,EOS status Orderable (No  specific EOS for this PN),ME-3800X-24FS-M
ME3800X-A,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
ME3800X-S,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
ME-4924-10GE,"February 28, 2013","February 28, 2014","May 29, 2017","February 28, 2018",http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-4900-series-switches/eol_c51-702107.html,OK,ME-4924-10GE
ME-BDL-01,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
ME-C3750-24TE-M,"August 29, 2011","February 22, 2013","May 23, 2016","February 28, 2017",http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-3750-metro-series-switches/end_of_life_notice_c51-650045.html,OK,ME-C3750-24TE-M
ME-C6524GS-8S,"March 31, 2012","March 31, 2013","June 26, 2016","March 31, 2017",http://www.cisco.com/c/en/us/products/collateral/switches/catalyst-6500-series-switches/eol_c51-698793.html,OK,ME-C6524GS-8S
MEM-16F-RSP4+,"December 15, 2007","December 14, 2008","March 14, 2012","December 31, 2012",http://www.cisco.com/c/en/us/products/collateral/routers/7500-series-routers/prod_end-of-life_notice0900aecd8058ffe4.html,OK,MEM-16F-RSP4+
MEM1700-32D,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
MEM1700-64D,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
MEM1800-32CF,"May 7, 2014","May 7, 2015","August 2, 2018","May 31, 2019",http://www.cisco.com/c/en/us/products/collateral/routers/carrier-routing-system/eos-eol-notice-c51-730176.html,OK,MEM1800-32CF
MEM2600XM-128D,"July 6, 2012",N/A,N/A,N/A,http://www.cisco.com/c/en/us/products/collateral/interfaces-modules/wan-interface-cards/end_of_life_notice_c51-705082.html,OK,MEM2600XM-128D
MEM2600XM-32FS,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
MEM2691-128D,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
MEM2691-64CF,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
MEM2800-64CF-INC,"January 10, 2013","January 10, 2014","April 7, 2017","January 31, 2018",http://www.cisco.com/c/en/us/products/collateral/routers/3800-series-integrated-services-routers-isr/end_of_life_notice_c51-711683.html,OK,MEM2800-64CF-INC
MEM2811-256D,"January 10, 2013","January 10, 2014","April 7, 2017","January 31, 2018",http://www.cisco.com/c/en/us/products/collateral/routers/3800-series-integrated-services-routers-isr/end_of_life_notice_c51-711683.html,OK,MEM2811-256D
MEM2821-256D,"January 10, 2013","January 10, 2014","April 7, 2017","January 31, 2018",http://www.cisco.com/c/en/us/products/collateral/routers/3800-series-integrated-services-routers-isr/end_of_life_notice_c51-711683.html,OK,MEM2821-256D
